product_id,product_name,category,unit,unit_price,store_location,date,quantity_sold,revenue
P126,Peanut Butter,Pantry,18oz jar,3.99,Lakeview,2025-03-22,67,267.33
P110,Large Eggs,Dairy,dozen,3.49,Uptown,2025-03-23,14,48.86
P112,Greek Yogurt,Dairy,6oz cup,1.29,Riverside,2025-03-23,53,68.37
P101,Bananas,Produce,lb,0.59,Westside,2025-03-24,118,69.62
P123,Spaghetti,Pantry,16oz box,1.49,Riverside,2025-03-24,104,154.96
P109,Whole Milk,Dairy,gallon,3.79,Lakeview,2025-03-24,43,162.97
P135,Potato Chips,Snacks,9.5oz bag,3.99,Westside,2025-03-24,35,139.65
P134,Bottled Water 24-pack,Beverages,24-pack,4.99,Riverside,2025-03-24,33,164.67
P122,Pork Chops,Meat & Seafood,lb,4.29,Lakeview,2025-03-24,32,137.28
P136,Tortilla Chips,Snacks,13oz bag,3.49,Downtown,2025-03-25,27,94.23
P124,Marinara Sauce,Pantry,24oz jar,2.99,Lakeview,2025-03-25,11,32.89
P137,Mixed Nuts,Snacks,10oz can,6.99,Lakeview,2025-03-25,62,433.38
P108,Broccoli Crowns,Produce,lb,2.29,Riverside,2025-03-25,70,160.3
P136,Tortilla Chips,Snacks,13oz bag,3.49,Uptown,2025-03-25,64,223.36
P120,Atlantic Salmon Fillet,Meat & Seafood,lb,9.99,Riverside,2025-03-25,48,479.52
P128,Canned Black Beans,Pantry,15oz can,1.09,Westside,2025-03-25,102,111.18
P105,Russet Potatoes,Produce,5lb bag,4.99,Westside,2025-03-25,105,523.95
P106,Red Apples,Produce,lb,1.79,Westside,2025-03-26,80,143.2
P104,Baby Spinach,Produce,bag,3.49,Riverside,2025-03-26,36,125.64
P119,Ground Beef 80/20,Meat & Seafood,lb,5.49,Uptown,2025-03-26,113,620.37
P118,Chicken Breast,Meat & Seafood,lb,4.99,Downtown,2025-03-28,49,244.51
P137,Mixed Nuts,Snacks,10oz can,6.99,Riverside,2025-03-28,24,167.76
P110,Large Eggs,Dairy,dozen,3.49,Uptown,2025-03-28,59,205.91
P103,Avocado,Produce,each,1.49,Uptown,2025-03-28,16,23.84
P113,Butter,Dairy,1lb,4.49,Westside,2025-03-28,60,269.4
P114,Almond Milk,Dairy,half gallon,3.99,Westside,2025-03-29,57,227.43
P123,Spaghetti,Pantry,16oz box,1.49,Downtown,2025-03-29,24,35.76
P142,Paper Towels,Household,6-pack,7.99,Riverside,2025-03-29,96,767.04
P105,Russet Potatoes,Produce,5lb bag,4.99,Lakeview,2025-03-29,5,24.95
P141,Vanilla Ice Cream,Frozen,1.5qt,4.99,Downtown,2025-03-29,62,309.38
P133,Cola 12-pack,Beverages,12-pack,6.49,Riverside,2025-03-30,16,103.84
P117,Croissants,Bakery,4-pack,5.99,Downtown,2025-03-30,41,245.59
P141,Vanilla Ice Cream,Frozen,1.5qt,4.99,Lakeview,2025-03-30,88,439.12
